"personne,""discipline"",""nation"",""anneeMin"",""anneeMax"",""nbOr"",""nbArgent"",""nbBronze"",""total"""
"http://dbpedia.org/resource/Harrie_Lavreysen,""Cycling"",""NED"",2020,2024,5,0,1,6"
"http://dbpedia.org/resource/Bonnie_Blair,""Speed skating"",""USA"",1988,1994,5,0,1,6"
"http://dbpedia.org/resource/Sarah_Sjöström,""Swimming"",""SWE"",2016,2024,3,2,1,6"
"http://dbpedia.org/resource/Burton_Downing,""Cycling"",""USA"",1904,1904,2,3,1,6"
"http://dbpedia.org/resource/Lee_Seung-hoon_(speed_skater),""Speed skating"",""KOR"",2010,2022,2,3,1,6"
"http://dbpedia.org/resource/Angel_Martino,""Swimming"",""USA"",1992,1996,3,0,3,6"
"http://dbpedia.org/resource/Tobias_Wendl,""Luge"",""GER"",2014,2022,6,0,0,6"
"http://dbpedia.org/resource/Robert_Garrett,""Athletics"",""USA"",1896,1900,2,2,2,6"
"http://dbpedia.org/resource/Doina_Ignat,""Rowing"",""ROU"",1992,2008,4,1,1,6"
"http://dbpedia.org/resource/Dana_Vollmer,""Swimming"",""USA"",2004,2016,4,1,1,6"
"http://dbpedia.org/resource/Veronica_Cochela,""Rowing"",""ROU"",1988,2000,2,3,1,6"
"http://dbpedia.org/resource/Amy_Van_Dyken,""Swimming"",""USA"",1996,2000,6,0,0,6"
"http://dbpedia.org/resource/Thomas_Alsgaard,""Cross-country skiing"",""NOR"",1994,2002,5,1,0,6"
"http://dbpedia.org/resource/Laura_Kenny,""Cycling"",""GBR"",2012,2020,5,1,0,6"
"http://dbpedia.org/resource/George_Eyser,""Gymnastics"",""USA"",1904,1904,3,2,1,6"
"http://dbpedia.org/resource/Anja_Pärson,""Alpine skiing"",""SWE"",2002,2010,1,1,4,6"
"http://dbpedia.org/resource/Michael_Klim,""Swimming"",""AUS"",1996,2004,2,3,1,6"
"http://dbpedia.org/resource/Florent_Manaudou,""Swimming"",""FRA"",2012,2024,1,3,2,6"
"http://dbpedia.org/resource/Chris_Hoy,""Cycling"",""GBR"",2004,2012,6,0,0,6"
"http://dbpedia.org/resource/László_Cseh,""Swimming"",""HUN"",2004,2016,0,4,2,6"
"http://dbpedia.org/resource/Rebeca_Andrade,""Gymnastics"",""BRA"",2020,2024,2,3,1,6"
"http://dbpedia.org/resource/Dimitrij_Ovtcharov,""Table tennis"",""GER"",2008,2020,0,2,4,6"
"http://dbpedia.org/resource/Yang_Junxuan,""Swimming"",""CHN"",2020,2024,1,2,3,6"
"http://dbpedia.org/resource/Rebecca_Soni,""Swimming"",""USA"",2008,2012,3,3,0,6"
"http://dbpedia.org/resource/Sergei_Tchepikov,""Biathlon"",""RUS"",1988,2006,2,3,1,6"
"http://dbpedia.org/resource/Suzanne_Schulting,""Short track speed skating"",""NED"",2018,2022,3,1,2,6"
